Pin Group,Number,Name,Type,Swap,Seq,,,,,
Gate-A,1,PG5(OC0B),Load,0,1,,,,,
Gate-A,2,PE0(RXD0/PCINT8),Load,0,2,,,,,
Gate-A,3,PE1(TXD0),Load,0,3,,,,,
Gate-A,4,PE2(XCK0/AIN0),Load,0,4,,,,,
Gate-A,5,PE3(OC3A/AIN1),Load,0,5,,,,,
Gate-A,6,PE4(OC3B/INT4),Load,0,6,,,,,
Gate-A,7,PE5(OC3C/INT5),Load,0,7,,,,,
Gate-A,8,PE6(T3/INT6),Load,0,8,,,,,
Gate-A,9,PE7(CLKO/ICP3/INT7),Load,0,9,,,,,
Gate-A,10,VCC,Power,0,10,,,,,
Gate-A,11,GND,Ground,0,11,,,,,
Gate-A,12,PH0(RXD2),Load,0,12,,,,,
Gate-A,13,PH1(TXD2),Load,0,13,,,,,
Gate-A,14,PH2(XCK2),Load,0,14,,,,,
Gate-A,15,PH3(OC4A),Load,0,15,,,,,
Gate-A,16,PH4(OC4B),Load,0,16,,,,,
Gate-A,17,PH5(OC4C),Load,0,17,,,,,
Gate-A,18,PH6(OC2B),Load,0,18,,,,,
Gate-A,19,PB0(SS/PCINT0),Load,0,19,,,,,
Gate-A,20,PB1(SCK/PCINT1),Load,0,20,,,,,
Gate-A,21,PB2(MOSI/PCINT2),Load,0,21,,,,,
Gate-A,22,PB3(MISO/PCINT3),Load,0,22,,,,,
Gate-A,23,PB4(OC2A/PCINT4),Load,0,23,,,,,
Gate-A,24,PB5(OC1A/PCINT5),Load,0,24,,,,,
Gate-A,25,PB6(OC1B/PCINT6),Load,0,25,,,,, 
Gate-A,75,PA3(AD3),Load,0,26,,,,,
Gate-A,74,PA4(AD4),Load,0,27,,,,,
Gate-A,73,PA5(AD5),Load,0,28,,,,,
Gate-A,72,PA6(AD6),Load,0,29,,,,,
Gate-A,71,PA7(AD7),Load,0,30,,,,,
Gate-A,70,PG2(ALE),Load,0,31,,,,,
Gate-A,69,PJ6(PCINT15),Load,0,32,,,,,
Gate-A,68,PJ5(PCINT14),Load,0,33,,,,,
Gate-A,67,PJ4(PCINT13),Load,0,34,,,,,
Gate-A,66,PJ3(PCINT12),Load,0,35,,,,,
Gate-A,65,PJ2(XCK3/PCINT11),Load,0,36,,,,,
Gate-A,64,PJ1(TXD3/PCINT10),Load,0,37,,,,,
Gate-A,63,PJ0(RXD3/PCINT9),Load,0,38,,,,,
Gate-A,62,GND,Ground,0,39,,,,,
Gate-A,61,VCC,Power,0,40,,,,,
Gate-A,60,PC7(A15),Load,0,41,,,,,
Gate-A,59,PC6(A14),Load,0,42,,,,,
Gate-A,58,PC5(A13),Load,0,43,,,,,
Gate-A,57,PC4(A12),Load,0,44,,,,,
Gate-A,56,PC3(A11),Load,0,45,,,,,
Gate-A,55,PC2(A10),Load,0,46,,,,,
Gate-A,54,PC1(A9),Load,0,47,,,,,
Gate-A,53,PC0(A8),Load,0,48,,,,,
Gate-A,52,PG1(RD),Load,0,49,,,,,
Gate-A,51,PG0(WR),Load,0,50,,,,,
Gate-A,76,PA2(AD2),Load,0,51,,,,,
Gate-A,77,PA1(AD1),Load,0,52,,,,,
Gate-A,78,PA0(AD0),Load,0,53,,,,,
Gate-A,79,PJ7,Load,0,54,,,,,
Gate-A,80,VCC,Power,0,55,,,,,
Gate-A,81,GND,Ground,0,56,,,,,
Gate-A,82,PK7(ADC15/PCINT23),Load,0,57,,,,,
Gate-A,83,PK6(ADC14/PCINT22),Load,0,58,,,,,
Gate-A,84,PK5(ADC13/PCINT21),Load,0,59,,,,,
Gate-A,85,PK4(ADC12/PCINT20),Load,0,60,,,,,
Gate-A,86,PK3(ADC11/PCINT19),Load,0,61,,,,,
Gate-A,87,PK2(ADC10/PCINT18),Load,0,62,,,,,
Gate-A,88,PK1(ADC9/PCINT17),Load,0,63,,,,,
Gate-A,89,PK0(ADC8/PCINT16),Load,0,64,,,,,
Gate-A,90,PF7(ADC7/TDI),Load,0,65,,,,,
Gate-A,91,PF6(ADC6/TDO),Load,0,66,,,,,
Gate-A,92,PF5(ADC5/TMS),Load,0,67,,,,,
Gate-A,93,PF4(ADC4/TCK),Load,0,68,,,,,
Gate-A,94,PF3(ADC3),Load,0,69,,,,,
Gate-A,95,PF2(ADC2),Load,0,70,,,,,
Gate-A,96,PF1(ADC1),Load,0,71,,,,,
Gate-A,97,PF0(ADC0),Load,0,72,,,,,
Gate-A,98,AREF,Load,0,73,,,,,
Gate-A,99,GND,Ground,0,74,,,,,
Gate-A,100,AVCC,Power,0,75,,,,,
Gate-A,50,PD7(T0),Load,0,76,,,,,
Gate-A,49,PD6(T1),Load,0,77,,,,,
Gate-A,48,PD5(XCK1),Load,0,78,,,,,
Gate-A,47,PD4(ICP1),Load,0,79,,,,,
Gate-A,46,PD3(TXD1/INT3),Load,0,80,,,,,
Gate-A,45,PD2(RXD1/INT2),Load,0,81,,,,,
Gate-A,44,PD1(SDA/INT1),Load,0,82,,,,,
Gate-A,43,PD0(SCL/INT0),Load,0,83,,,,,
Gate-A,42,PL7,Load,0,84,,,,,
Gate-A,41,PL6,Load,0,85,,,,,
Gate-A,40,PL5(OC5C),Load,0,86,,,,,
Gate-A,39,PL4(OC5B),Load,0,87,,,,,
Gate-A,38,PL3(OC5A),Load,0,88,,,,,
Gate-A,37,PL2(T5),Load,0,89,,,,,
Gate-A,36,PL1(ICP5),Load,0,90,,,,,
Gate-A,35,PL0(ICP4),Load,0,91,,,,,
Gate-A,34,XTAL1,Load,0,92,,,,,
Gate-A,33,XTAL2,Load,0,93,,,,,
Gate-A,32,GND,Ground,0,94,,,,,
Gate-A,31,VCC,Power,0,95,,,,,
Gate-A,30,\RESET\,Load,0,96,,,,,
Gate-A,29,PG4(TOSC1),Load,0,97,,,,,
Gate-A,28,PG3(TOSC2),Load,0,98,,,,,
Gate-A,27,PH7(T4),Load,0,99,,,,,
Gate-A,26,PB7(OC0A/OC1C/PCINT7),Load,0,100,,,,,
